,Race_Type,Horse_Name,Trainer_name,Jockey_name,Weight,Draw,Win_odds,predicted finishing time,Place
109,SIU SAI WAN HANDICAP,CALIFORNIA TEN,A S Cruz,C L Chau,126.0,126.0,74.0,99.79673811606557,8
110,SIU SAI WAN HANDICAP,PERFECT TO GREAT,C Fownes,J Moreira,127.0,127.0,5.599999904632568,99.80363123820112,9
111,SIU SAI WAN HANDICAP,HANG'S DECISION,W Y So,M L Yeung,113.0,113.0,148.0,99.80540980855554,10
112,SIU SAI WAN HANDICAP,CASIMIRO,P O'Sullivan,M Chadwick,115.0,115.0,33.0,99.86436304387708,11
113,SIU SAI WAN HANDICAP,AI ONE,D A Hayes,C Schofield,121.0,121.0,175.0,99.87780485144818,12
114,SIU SAI WAN HANDICAP,LEGION OF MERIT,D J Hall,H T Mo,113.0,113.0,282.0,99.94542977925968,13
115,SIU SAI WAN HANDICAP,KING OPIE,F C Lor,T Piccone,132.0,132.0,107.0,100.04203978268887,14
116,PARUS HANDICAP,PARTY EVERYDAY,A S Cruz,M Chadwick,119.0,119.0,5.199999809265137,99.9396628517135,1
117,PARUS HANDICAP,ALL FOR ST PAUL'S,F C Lor,M F Poon,116.0,116.0,6.199999809265137,100.14133432407213,2
118,PARUS HANDICAP,ELITE PATCH,K W Lui,C L Chau,126.0,126.0,3.200000047683716,100.377660141521,3
