,Race_Type,Horse_Name,Trainer_name,Jockey_name,Weight,Draw,Win_odds,predicted finishing time,Place
169,MESIA HANDICAP,SICOMORO,D A Hayes,B Shinn,128.0,128.0,151.0,70.09859904136815,8
170,MESIA HANDICAP,EIGHT TRIGRAMS,D J Hall,C Y Ho,119.0,119.0,28.0,70.156184499051,9
171,MESIA HANDICAP,GOLFMAN STAR,F C Lor,J Moreira,120.0,120.0,10.0,70.19145681415998,10
172,MESIA HANDICAP,GAMEPLAYER TIMES,D J Whyte,M L Yeung,118.0,118.0,58.0,70.19145681415998,11
173,MESIA HANDICAP,FLYING BONUS,C H Yip,K H Chan,115.0,115.0,7.800000190734863,70.23480943503644,12
174,TAI TAM BAY HANDICAP,GUNNAR,C Fownes,K H Chan,117.0,117.0,5.800000190734863,67.73881849067216,1
175,TAI TAM BAY HANDICAP,TELECOM SMART,Y S Tsui,C Wong,110.0,110.0,95.0,68.42378408080067,2
176,TAI TAM BAY HANDICAP,SUPER ALLIANCES,J Size,M Chadwick,118.0,118.0,7.800000190734863,68.72518377757319,3
177,TAI TAM BAY HANDICAP,JUST NOT LISTENING,T P Yung,H T Mo,111.0,111.0,42.0,68.96976807150324,4
178,TAI TAM BAY HANDICAP,SUNNY BOY,W Y So,C L Chau,123.0,123.0,8.5,69.68189056773839,5
179,TAI TAM BAY HANDICAP,ETERNAL BEAUTY,A S Cruz,T Piccone,121.0,121.0,23.0,69.74736538415664,6
180,TAI TAM BAY HANDICAP,AQUILA,K H Ting,C Y Ho,120.0,120.0,13.0,69.86440560945243,7
181,TAI TAM BAY HANDICAP,UTOPIA LIFE,K L Man,N Callan,128.0,128.0,12.0,69.86740679907187,8
182,TAI TAM BAY HANDICAP,SUNSET WATCH,K W Lui,K Teetan,126.0,126.0,14.0,69.96730285237294,9
183,TAI TAM BAY HANDICAP,ALL FOR SOUTH,F C Lor,J Moreira,127.0,127.0,3.200000047683716,69.97307860449824,10
184,TAI TAM BAY HANDICAP,FALCON TURBO,A T Millard,C Schofield,127.0,127.0,8.399999618530273,70.27955730914238,11
185,TAI TAM BAY HANDICAP,FLYING BONUS,C H Yip,A Hamelin,117.0,117.0,18.0,70.42359551420435,12
186,ROBIN HANDICAP,MAGIC BONUS,D A Hayes,M L Yeung,124.0,124.0,143.0,69.42606376700206,1
187,ROBIN HANDICAP,MERCURIAL,A S Cruz,N Callan,132.0,132.0,5.300000190734863,69.42606415825048,2
188,ROBIN HANDICAP,HAPPY TANGO,Y S Tsui,J Moreira,117.0,117.0,2.700000047683716,69.4397712598422,3
189,ROBIN HANDICAP,ZACIAN,A T Millard,C Wong,114.0,114.0,93.0,70.17627612100426,4
190,ROBIN HANDICAP,HAPPILY FRIENDS,K H Ting,K Teetan,117.0,117.0,10.0,70.24507558390808,5
191,ROBIN HANDICAP,DOLLAR REWARD,C S Shum,Z Purton,120.0,120.0,10.0,70.70583856456058,6
