Horse,Weight,Jockey,Draw,Trainer,Rtg.,Weight_Declared,Meeting_Number,Race_Type,Course,Distance,Prize,Ranking,Class,Date,Surface,Min_Temp,Max_Temp
FIRE BALL,132,K H Chan,6,C H Yip,60,1049,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
BLAZING SUN,124,K Teetan,9,K W Lui,52,1157,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
CLASSIC MOON,124,K C Leung,11,W Y So,52,1091,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
SUPER HIGHWAY,124,C Y Ho,1,F C Lor,52,1199,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
VAMOS,124,M L Yeung,10,D A Hayes,52,1101,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
WONDERFUL HORSE,124,J Moreira,4,C Fownes,52,1144,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
SALUTATION,123,V Borges,8,J Size,51,1170,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
JOYFUL GENIUS,121,L Ferraris,12,D J Hall,49,1170,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
PRESIDENT'S CHOICE,121,M Chadwick,3,R Gibson,49,1024,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
NAMJONG CORTEZ,120,R Maia,5,K H Ting,48,999,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
SMART WONGCHOY,120,C L Chau,7,D J Whyte,48,1116,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
CHIU CHOW BROTHER,118,A Badel,2,T P Yung,46,1034,1,LUKFOOK JEWELLERY HEXICON HANDICAP,Sha Tin,1200,1040000,60-40,Class 4,12/18/2021,TURF - C+3 Course,13,21
