Horse,Weight,Jockey,Draw,Trainer,Rtg.,Weight_Declared,Meeting_Number,Race_Type,Course,Distance,Prize,Ranking,Class,Date,Surface,Min_Temp,Max_Temp
TAKINGUFURTHER,133,H N Wong,8,K H Ting,40,1104,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
AMAZEMENT,132,V Borges,9,J Size,39,1137,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
UNIVERSAL CROWN,132,K H Chan,3,D J Whyte,39,1085,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
SUNNY AND GOLD,131,J Moreira,10,C H Yip,38,1076,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
AUGUST MOON,130,C L Chau,2,P O'Sullivan,37,1128,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
ALLOY STAR,124,C Y Ho,7,T P Yung,31,1077,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
SPEEDY DRAGON,124,H W Lai,6,K L Man,31,1108,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
TELECOM MISSILE,123,K Teetan,12,C Fownes,30,1287,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
SCENIC SWEETIE,122,M L Yeung,11,Y S Tsui,29,1079,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
ALL THE WAY,120,K C Leung,4,L Ho,27,1075,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
GOLDEN MISSION,115,M Chadwick,5,C W Chang,22,1160,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
SUNNY SMILE,113,H T Mo,1,D E Ferraris,19,994,2,LUKFOOK JEWELLERY LOVE IS BEAUTY COLLECTION HANDICAP,Sha Tin,1200,780000,40-0,Class 5,12/18/2021,TURF - C+3 Course,13,21
