Horse_ID,Horse_Name,Country,Age,URL,URL_Country,URL_bn,Foal_Date,success_flag
1,SUPER AXIOM,AUS,3,https://www.racenet.com.au/profiles/horse/super-axiom,https://www.racenet.com.au/profiles/horse/super-axiom-aus,https://www.breednet.com.au/horse/super-axiom,9/8/2017,1
2,SEA ELITE,AUS,4,https://www.racenet.com.au/profiles/horse/sea-elite,https://www.racenet.com.au/profiles/horse/sea-elite-aus,https://www.breednet.com.au/horse/sea-elite,18/10/2016,1
3,LITTLE PLAYER,NZ,4,https://www.racenet.com.au/profiles/horse/little-player,https://www.racenet.com.au/profiles/horse/little-player-nz,https://www.breednet.com.au/horse/little-player,11/10/2016,1
4,NEW FUTURE,AUS,4,https://www.racenet.com.au/profiles/horse/new-future,https://www.racenet.com.au/profiles/horse/new-future-aus,https://www.breednet.com.au/horse/new-future,12/10/2016,1
5,RED MAJESTY,NZ,4,https://www.racenet.com.au/profiles/horse/red-majesty,https://www.racenet.com.au/profiles/horse/red-majesty-nz,https://www.breednet.com.au/horse/red-majesty,13/09/2016,1
6,VICTORIA GENERAL,NZ,4,https://www.racenet.com.au/profiles/horse/victoria-general,https://www.racenet.com.au/profiles/horse/victoria-general-nz,https://www.breednet.com.au/horse/victoria-general,1/12/2016,1
7,PICHU,NZ,4,https://www.racenet.com.au/profiles/horse/pichu,https://www.racenet.com.au/profiles/horse/pichu-nz,https://www.breednet.com.au/horse/pichu,5/10/2016,1
8,SKY CHAMPION,NZ,4,https://www.racenet.com.au/profiles/horse/sky-champion,https://www.racenet.com.au/profiles/horse/sky-champion-nz,https://www.breednet.com.au/horse/sky-champion,10/10/2016,1
9,SAVAQUIN,NZ,4,https://www.racenet.com.au/profiles/horse/savaquin,https://www.racenet.com.au/profiles/horse/savaquin-nz,https://www.breednet.com.au/horse/savaquin,13/10/2016,1
10,IMA SINGLE MAN,AUS,3,https://www.racenet.com.au/profiles/horse/ima-single-man,https://www.racenet.com.au/profiles/horse/ima-single-man-aus,https://www.breednet.com.au/horse/ima-single-man,23/09/2017,1
11,HELENE WISDOM STAR,IRE,4,https://www.racenet.com.au/profiles/horse/helene-wisdom-star,https://www.racenet.com.au/profiles/horse/helene-wisdom-star-ire,https://www.breednet.com.au/horse/helene-wisdom-star,14/04/2017,1
12,AION,AUS,3,https://www.racenet.com.au/profiles/horse/aion,https://www.racenet.com.au/profiles/horse/aion-aus,https://www.breednet.com.au/horse/aion,26/08/2017,1
13,STRONG ALLIANCE,AUS,4,https://www.racenet.com.au/profiles/horse/strong-alliance,https://www.racenet.com.au/profiles/horse/strong-alliance-aus,https://www.breednet.com.au/horse/strong-alliance,20/10/2016,1
14,MAN STAR,AUS,4,https://www.racenet.com.au/profiles/horse/man-star,https://www.racenet.com.au/profiles/horse/man-star-aus,https://www.breednet.com.au/horse/man-star,27/10/2016,1
15,WEALTHY DELIGHT,AUS,4,https://www.racenet.com.au/profiles/horse/wealthy-delight,https://www.racenet.com.au/profiles/horse/wealthy-delight-aus,https://www.breednet.com.au/horse/wealthy-delight,25/08/2016,1
16,VIVA CHEF,NZ,4,https://www.racenet.com.au/profiles/horse/viva-chef,https://www.racenet.com.au/profiles/horse/viva-chef-nz,https://www.breednet.com.au/horse/viva-chef,17/10/2016,1
17,LUCKY TURBO,AUS,4,https://www.racenet.com.au/profiles/horse/lucky-turbo,https://www.racenet.com.au/profiles/horse/lucky-turbo-aus,https://www.breednet.com.au/horse/lucky-turbo,Invalid Date,0
18,METRO WARRIOR,AUS,4,https://www.racenet.com.au/profiles/horse/metro-warrior,https://www.racenet.com.au/profiles/horse/metro-warrior-aus,https://www.breednet.com.au/horse/metro-warrior,22/09/2016,1
19,PRINCE OF BON BON,SAF,5,https://www.racenet.com.au/profiles/horse/prince-of-bon-bon,https://www.racenet.com.au/profiles/horse/prince-of-bon-bon-saf,https://www.breednet.com.au/horse/prince-of-bon-bon,1/10/2015,1
20,MORE THAN ENOUGH,NZ,4,https://www.racenet.com.au/profiles/horse/more-than-enough,https://www.racenet.com.au/profiles/horse/more-than-enough-nz,https://www.breednet.com.au/horse/more-than-enough,21/11/2015,1
21,TELECOM JAC,AUS,5,https://www.racenet.com.au/profiles/horse/telecom-jac,https://www.racenet.com.au/profiles/horse/telecom-jac-aus,https://www.breednet.com.au/horse/telecom-jac,4/9/2015,1
22,JOLLY GOOD HEART,AUS,5,https://www.racenet.com.au/profiles/horse/jolly-good-heart,https://www.racenet.com.au/profiles/horse/jolly-good-heart-aus,https://www.breednet.com.au/horse/jolly-good-heart,22/10/2015,1
23,SUPER COMMANDER,SAF,4,https://www.racenet.com.au/profiles/horse/super-commander,https://www.racenet.com.au/profiles/horse/super-commander-saf,https://www.breednet.com.au/horse/super-commander,1/8/2016,1
24,BLAZING BEAT,IRE,4,https://www.racenet.com.au/profiles/horse/blazing-beat,https://www.racenet.com.au/profiles/horse/blazing-beat-ire,https://www.breednet.com.au/horse/blazing-beat,5/2/2017,1
25,REWARDING TOGETHER,AUS,4,https://www.racenet.com.au/profiles/horse/rewarding-together,https://www.racenet.com.au/profiles/horse/rewarding-together-aus,https://www.breednet.com.au/horse/rewarding-together,9/9/2016,1
26,JOLLY FOREVER,AUS,4,https://www.racenet.com.au/profiles/horse/jolly-forever,https://www.racenet.com.au/profiles/horse/jolly-forever-aus,https://www.breednet.com.au/horse/jolly-forever,10/8/2016,1
