Horse,Weight,Jockey,Draw,Trainer,Rtg.,Weight_Declared,Meeting_Number,Race_Type,Course,Distance,Prize,Ranking,Class,Date,Surface,Min_Temp,Max_Temp
OSCAR GLORY,133,H Bentley,2,F C Lor,60,1126,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
DECISIVE ACTION,132,A Badel,9,C S Shum,59,1107,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
EZRA,132,R Maia,13,A T Millard,59,1144,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
NEW FUTURE,130,C L Chau,5,T P Yung,57,1085,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
GREAT TREASURE,127,H N Wong,7,Y S Tsui,54,1047,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
BIG BROOK,126,L Ferraris,3,C Fownes,53,1344,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
FASTER,125,M L Yeung,11,D J Whyte,52,1054,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
RIGHT AS RAIN,125,M Chadwick,12,C W Chang,52,1088,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
DARCI JOY,123,K C Leung,1,P F Yiu,50,1042,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
JIANGXI STAMINA,119,C Y Ho,6,W Y So,46,1213,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
LEADING FORTUNE,119,J Moreira,4,J Size,46,1122,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
CHATER PINS  (Scratched),-,-,-,-,-,-,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
GO GO SIXTEEN,115,K Teetan,8,K W Lui,42,1254,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
KUNG FU TEA,115,M F Poon,10,D J Hall,42,1140,7,LUKFOOK JEWELLERY LOVE FOREVER COLLECTION HANDICAP,Sha Tin,1600,1040000,60-40,Class 4,12/18/2021,TURF C+3 COURSE,13,21
