Horse,Weight,Jockey,Draw,Trainer,Rtg.,Weight_Declared,Meeting_Number,Race_Type,Course,Distance,Prize,Ranking,Class,Date,Surface,Min_Temp,Max_Temp
LOOKING GREAT,133,K C Leung,13,F C Lor,80,1065,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
CAPTAIN WIN,130,C L Chau,14,D J Hall,77,1229,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
CRAIG'S STAR,126,H Bentley,6,K H Ting,73,1260,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
SUPER TEN,126,A Badel,10,D J Whyte,73,1233,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
INTREPID WINNER,125,A Hamelin,8,A T Millard,72,1054,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
HELENE NORTH STAR,124,L Ferraris,3,D A Hayes,71,1080,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
SOULMATE,124,J Moreira,9,P F Yiu,71,1207,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
XIANG YIN,122,C Y Ho,1,F C Lor,69,1070,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
WIN WIN FIGHTER,119,R Maia,7,K W Lui,66,1054,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
CROSSFORD,118,V Borges,12,J Size,65,1070,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
GREEN LASER,116,H T Mo,11,D E Ferraris,63,1128,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
GOLDEN LINK,127,M F Poon,5,P F Yiu,74,1034,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
PAKISTAN FRIEND,114,M Chadwick,2,W Y So,61,1072,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
KYRUS UNICORN,113,M L Yeung,4,C W Chang,60,1094,10,LUKFOOK JEWELLERY F-STYLE HEY COOL COLLECTION HANDICAP,Sha Tin,1600,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
