Horse,Weight,Jockey,Draw,Trainer,Rtg.,Weight_Declared,Meeting_Number,Race_Type,Course,Distance,Prize,Ranking,Class,Date,Surface,Min_Temp,Max_Temp
CALIFORNIA CONCORD,133,L Ferraris,10,A S Cruz,78,1293,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
FIVE ELEMENTS,131,K C Leung,6,F C Lor,76,1060,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
THE HULK,129,H Bentley,2,C Fownes,74,1156,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
TEAM SPIRIT,128,K H Chan,1,W Y So,73,1216,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
MIGHTY VALOR,127,V Borges,3,P F Yiu,72,1154,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
ROMANTIC WARRIOR,122,J Moreira,7,C S Shum,67,1121,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
SEASONS BLISS,121,C Y Ho,4,K H Ting,66,1250,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
ENNEA FORTUNE,120,M Chadwick,12,C H Yip,65,1133,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
NOTHING IMPOSSIBLE,120,R Maia,9,K W Lui,65,1124,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
WAR OF COURAGE,120,C L Chau,11,K L Man,65,1260,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
ARMOUR EAGLE,118,A Badel,8,Y S Tsui,63,1135,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
HANDSOME TWELVE,118,K Teetan,5,T P Yung,63,1130,9,LUKFOOK JEWELLERY F-STYLE PT IN STYLE COLLECTION HANDICAP,Sha Tin,1200,1570000,80-60,Class 3,12/18/2021,TURF C+3 COURSE,13,21
