Horse_ID,Horse_Name,Country,URL,URL_Country,Foal_Date,success_flag
41,GLORIOUS LOVER,IRE,https://www.racenet.com.au/profiles/horse/glorious-lover,https://www.racenet.com.au/profiles/horse/glorious-lover-ire,2/2/2016,1
42,WE THE SOUTH,AUS,https://www.racenet.com.au/profiles/horse/we-the-south,https://www.racenet.com.au/profiles/horse/we-the-south-aus,30/09/2016,1
43,CALIFORNIA RAD,AUS,https://www.racenet.com.au/profiles/horse/california-rad,https://www.racenet.com.au/profiles/horse/california-rad-aus,6/9/2016,1
44,MORE THAN A HORSE,AUS,https://www.racenet.com.au/profiles/horse/more-than-a-horse,https://www.racenet.com.au/profiles/horse/more-than-a-horse-aus,5/10/2015,1
45,BRAVE KING,IRE,https://www.racenet.com.au/profiles/horse/brave-king,https://www.racenet.com.au/profiles/horse/brave-king-ire,23/11/2013,1
46,SUPERBELLA,GB,https://www.racenet.com.au/profiles/horse/superbella,https://www.racenet.com.au/profiles/horse/superbella-gb,22/02/2016,1
47,WINNING STRIKES,NZ,https://www.racenet.com.au/profiles/horse/winning-strikes,https://www.racenet.com.au/profiles/horse/winning-strikes-nz,5/11/2016,1
48,WILL POWER,NZ,https://www.racenet.com.au/profiles/horse/will-power,https://www.racenet.com.au/profiles/horse/will-power-nz,20/10/2015,1
49,CHAMP PATROL,NZ,https://www.racenet.com.au/profiles/horse/champ-patrol,https://www.racenet.com.au/profiles/horse/champ-patrol-nz,,0
50,AMAZING KIWI,AUS,https://www.racenet.com.au/profiles/horse/amazing-kiwi,https://www.racenet.com.au/profiles/horse/amazing-kiwi-aus,,0
51,XPONENTIAL,AUS,https://www.racenet.com.au/profiles/horse/xponential,https://www.racenet.com.au/profiles/horse/xponential-aus,3/9/2015,1
52,UNITED WE STAND,AUS,https://www.racenet.com.au/profiles/horse/united-we-stand,https://www.racenet.com.au/profiles/horse/united-we-stand-aus,24/09/2011,1
53,WINNER'S HEART,AUS,https://www.racenet.com.au/profiles/horse/winner's-heart,https://www.racenet.com.au/profiles/horse/winner's-heart-aus,,0
54,BLOTTING PAPER,AUS,https://www.racenet.com.au/profiles/horse/blotting-paper,https://www.racenet.com.au/profiles/horse/blotting-paper-aus,26/08/2015,1
55,ISLAND SHINE,NZ,https://www.racenet.com.au/profiles/horse/island-shine,https://www.racenet.com.au/profiles/horse/island-shine-nz,,0
56,HAPPY ICHIBAN,AUS,https://www.racenet.com.au/profiles/horse/happy-ichiban,https://www.racenet.com.au/profiles/horse/happy-ichiban-aus,,0
57,NEXTMODEL,AUS,https://www.racenet.com.au/profiles/horse/nextmodel,https://www.racenet.com.au/profiles/horse/nextmodel-aus,4/10/2015,1
58,JOY N FUN LEGEND,NZ,https://www.racenet.com.au/profiles/horse/joy-n-fun-legend,https://www.racenet.com.au/profiles/horse/joy-n-fun-legend-nz,13/11/2015,1
59,INCANTO PREPARED,NZ,https://www.racenet.com.au/profiles/horse/incanto-prepared,https://www.racenet.com.au/profiles/horse/incanto-prepared-nz,6/10/2015,1
60,BEAUTY ANGEL,GB,https://www.racenet.com.au/profiles/horse/beauty-angel,https://www.racenet.com.au/profiles/horse/beauty-angel-gb,10/1/2016,1
61,HAPPILY FRIENDS,IRE,https://www.racenet.com.au/profiles/horse/happily-friends,https://www.racenet.com.au/profiles/horse/happily-friends-ire,15/04/2016,1
62,WONDER BRAHMA,NZ,https://www.racenet.com.au/profiles/horse/wonder-brahma,https://www.racenet.com.au/profiles/horse/wonder-brahma-nz,18/10/2015,1
63,ROCKET HAMMER,AUS,https://www.racenet.com.au/profiles/horse/rocket-hammer,https://www.racenet.com.au/profiles/horse/rocket-hammer-aus,,0
64,URBAN DANCER,AUS,https://www.racenet.com.au/profiles/horse/urban-dancer,https://www.racenet.com.au/profiles/horse/urban-dancer-aus,Invalid Date,1
65,TOM'S STYLE,AUS,https://www.racenet.com.au/profiles/horse/tom's-style,https://www.racenet.com.au/profiles/horse/tom's-style-aus,,0
66,LUCKY MISSILE,NZ,https://www.racenet.com.au/profiles/horse/lucky-missile,https://www.racenet.com.au/profiles/horse/lucky-missile-nz,17/10/2016,1
67,GO BALLISTIC,SAF,https://www.racenet.com.au/profiles/horse/go-ballistic,https://www.racenet.com.au/profiles/horse/go-ballistic-saf,29/09/2015,1
68,ONE HAPPY STAR,AUS,https://www.racenet.com.au/profiles/horse/one-happy-star,https://www.racenet.com.au/profiles/horse/one-happy-star-aus,6/9/2015,1
69,NAMJONG SINGS,AUS,https://www.racenet.com.au/profiles/horse/namjong-sings,https://www.racenet.com.au/profiles/horse/namjong-sings-aus,12/9/2015,1
70,HERCULES,AUS,https://www.racenet.com.au/profiles/horse/hercules,https://www.racenet.com.au/profiles/horse/hercules-aus,28/09/2015,1
71,METHANE,NZ,https://www.racenet.com.au/profiles/horse/methane,https://www.racenet.com.au/profiles/horse/methane-nz,23/09/2015,1
72,HERE COMES TED,NZ,https://www.racenet.com.au/profiles/horse/here-comes-ted,https://www.racenet.com.au/profiles/horse/here-comes-ted-nz,2/11/2016,1
73,STANLEY PARK,AUS,https://www.racenet.com.au/profiles/horse/stanley-park,https://www.racenet.com.au/profiles/horse/stanley-park-aus,11/9/2014,1
74,CANTSTOPTHEFEELING,NZ,https://www.racenet.com.au/profiles/horse/cantstopthefeeling,https://www.racenet.com.au/profiles/horse/cantstopthefeeling-nz,1/11/2015,1
75,RICH AND LUCKY,GB,https://www.racenet.com.au/profiles/horse/rich-and-lucky,https://www.racenet.com.au/profiles/horse/rich-and-lucky-gb,9/3/2016,1
76,U W BROTHER,AUS,https://www.racenet.com.au/profiles/horse/u-w-brother,https://www.racenet.com.au/profiles/horse/u-w-brother-aus,16/10/2016,1
77,WILD WEST WING,AUS,https://www.racenet.com.au/profiles/horse/wild-west-wing,https://www.racenet.com.au/profiles/horse/wild-west-wing-aus,19/09/2016,1
78,MIG ENERGY,AUS,https://www.racenet.com.au/profiles/horse/mig-energy,https://www.racenet.com.au/profiles/horse/mig-energy-aus,2/9/2015,1
79,CLASSIC UNICORN,NZ,https://www.racenet.com.au/profiles/horse/classic-unicorn,https://www.racenet.com.au/profiles/horse/classic-unicorn-nz,25/11/2015,1
80,HONG KONG WIN,AUS,https://www.racenet.com.au/profiles/horse/hong-kong-win,https://www.racenet.com.au/profiles/horse/hong-kong-win-aus,12/9/2015,1
81,SHOUSON,AUS,https://www.racenet.com.au/profiles/horse/shouson,https://www.racenet.com.au/profiles/horse/shouson-aus,9/10/2015,1
82,BEAUTY SPARK,AUS,https://www.racenet.com.au/profiles/horse/beauty-spark,https://www.racenet.com.au/profiles/horse/beauty-spark-aus,,0
83,STAR OF YUEN LONG,NZ,https://www.racenet.com.au/profiles/horse/star-of-yuen-long,https://www.racenet.com.au/profiles/horse/star-of-yuen-long-nz,19/09/2015,1
84,BRAVERY AND POWER,SAF,https://www.racenet.com.au/profiles/horse/bravery-and-power,https://www.racenet.com.au/profiles/horse/bravery-and-power-saf,,0
85,SHADOW BREAKER,IRE,https://www.racenet.com.au/profiles/horse/shadow-breaker,https://www.racenet.com.au/profiles/horse/shadow-breaker-ire,,0
86,ENSHRINED,IRE,https://www.racenet.com.au/profiles/horse/enshrined,https://www.racenet.com.au/profiles/horse/enshrined-ire,27/08/2008,1
87,FOCUS,NZ,https://www.racenet.com.au/profiles/horse/focus,https://www.racenet.com.au/profiles/horse/focus-nz,Invalid Date,1
88,FARM BUMPER,AUS,https://www.racenet.com.au/profiles/horse/farm-bumper,https://www.racenet.com.au/profiles/horse/farm-bumper-aus,7/9/2015,1
89,JOYFUL UNION,NZ,https://www.racenet.com.au/profiles/horse/joyful-union,https://www.racenet.com.au/profiles/horse/joyful-union-nz,,0
90,BEAUTY APPLAUSE,AUS,https://www.racenet.com.au/profiles/horse/beauty-applause,https://www.racenet.com.au/profiles/horse/beauty-applause-aus,18/09/2015,1
91,WINNERS BROTHER,NZ,https://www.racenet.com.au/profiles/horse/winners-brother,https://www.racenet.com.au/profiles/horse/winners-brother-nz,,0
92,PRESIDENT STAR,AUS,https://www.racenet.com.au/profiles/horse/president-star,https://www.racenet.com.au/profiles/horse/president-star-aus,23/08/2015,1
93,HEAVENLY THOUGHT,AUS,https://www.racenet.com.au/profiles/horse/heavenly-thought,https://www.racenet.com.au/profiles/horse/heavenly-thought-aus,3/11/2014,1
94,REEL BIZZY,IRE,https://www.racenet.com.au/profiles/horse/reel-bizzy,https://www.racenet.com.au/profiles/horse/reel-bizzy-ire,4/3/2016,1
95,BEAUTY AMIGO,IRE,https://www.racenet.com.au/profiles/horse/beauty-amigo,https://www.racenet.com.au/profiles/horse/beauty-amigo-ire,6/2/2015,1
96,LOVING A BOOM,IRE,https://www.racenet.com.au/profiles/horse/loving-a-boom,https://www.racenet.com.au/profiles/horse/loving-a-boom-ire,21/03/2015,1
97,MAGNIFICENT,GB,https://www.racenet.com.au/profiles/horse/magnificent,https://www.racenet.com.au/profiles/horse/magnificent-gb,6/4/2015,1
98,TASHIDELEK,AUS,https://www.racenet.com.au/profiles/horse/tashidelek,https://www.racenet.com.au/profiles/horse/tashidelek-aus,31/10/2014,1
99,BLOOMING SPIRIT,AUS,https://www.racenet.com.au/profiles/horse/blooming-spirit,https://www.racenet.com.au/profiles/horse/blooming-spirit-aus,,0
100,BRIGHT KID,AUS,https://www.racenet.com.au/profiles/horse/bright-kid,https://www.racenet.com.au/profiles/horse/bright-kid-aus,2/8/2014,1
101,SHINING GEM,AUS,https://www.racenet.com.au/profiles/horse/shining-gem,https://www.racenet.com.au/profiles/horse/shining-gem-aus,8/9/2015,1
102,WINNING ENDEAVOUR,IRE,https://www.racenet.com.au/profiles/horse/winning-endeavour,https://www.racenet.com.au/profiles/horse/winning-endeavour-ire,,0
103,SHINEALOT,FR,https://www.racenet.com.au/profiles/horse/shinealot,https://www.racenet.com.au/profiles/horse/shinealot-fr,12/1/2015,1
104,HINCHINLOVE,AUS,https://www.racenet.com.au/profiles/horse/hinchinlove,https://www.racenet.com.au/profiles/horse/hinchinlove-aus,,0
105,HAPPY GOOD GUYS,AUS,https://www.racenet.com.au/profiles/horse/happy-good-guys,https://www.racenet.com.au/profiles/horse/happy-good-guys-aus,28/08/2015,1
106,ROYAL RACER,AUS,https://www.racenet.com.au/profiles/horse/royal-racer,https://www.racenet.com.au/profiles/horse/royal-racer-aus,26/08/2015,1
107,DIONYSUS COLLIN,AUS,https://www.racenet.com.au/profiles/horse/dionysus-collin,https://www.racenet.com.au/profiles/horse/dionysus-collin-aus,,0
108,FLYING BONUS,AUS,https://www.racenet.com.au/profiles/horse/flying-bonus,https://www.racenet.com.au/profiles/horse/flying-bonus-aus,11/8/2014,1
109,MURRAY'S PARTNERS,NZ,https://www.racenet.com.au/profiles/horse/murray's-partners,https://www.racenet.com.au/profiles/horse/murray's-partners-nz,,0
110,VIRTUS STAR,AUS,https://www.racenet.com.au/profiles/horse/virtus-star,https://www.racenet.com.au/profiles/horse/virtus-star-aus,30/07/2015,1
111,TOUCH OF LUCK,AUS,https://www.racenet.com.au/profiles/horse/touch-of-luck,https://www.racenet.com.au/profiles/horse/touch-of-luck-aus,24/08/2014,1
112,NORDIC WARRIOR,IRE,https://www.racenet.com.au/profiles/horse/nordic-warrior,https://www.racenet.com.au/profiles/horse/nordic-warrior-ire,22/03/2015,1
113,PAKISTAN FRIEND,AUS,https://www.racenet.com.au/profiles/horse/pakistan-friend,https://www.racenet.com.au/profiles/horse/pakistan-friend-aus,26/09/2014,1
114,NABOO STAR,AUS,https://www.racenet.com.au/profiles/horse/naboo-star,https://www.racenet.com.au/profiles/horse/naboo-star-aus,5/11/2014,1
115,CALIFORNIA LEGEND,IRE,https://www.racenet.com.au/profiles/horse/california-legend,https://www.racenet.com.au/profiles/horse/california-legend-ire,8/2/2015,1
116,VILLA FIONN,AUS,https://www.racenet.com.au/profiles/horse/villa-fionn,https://www.racenet.com.au/profiles/horse/villa-fionn-aus,14/09/2014,1
117,FORZA ANGEL,GB,https://www.racenet.com.au/profiles/horse/forza-angel,https://www.racenet.com.au/profiles/horse/forza-angel-gb,,0
118,WINNING WAYS,IRE,https://www.racenet.com.au/profiles/horse/winning-ways,https://www.racenet.com.au/profiles/horse/winning-ways-ire,19/08/2015,1
119,KEEP WINNING,IRE,https://www.racenet.com.au/profiles/horse/keep-winning,https://www.racenet.com.au/profiles/horse/keep-winning-ire,19/10/2008,1
120,AFTER ME,IRE,https://www.racenet.com.au/profiles/horse/after-me,https://www.racenet.com.au/profiles/horse/after-me-ire,20/03/2015,1
121,HAPPY HOUR,NZ,https://www.racenet.com.au/profiles/horse/happy-hour,https://www.racenet.com.au/profiles/horse/happy-hour-nz,Invalid Date,1
122,RACING FIGHTER,NZ,https://www.racenet.com.au/profiles/horse/racing-fighter,https://www.racenet.com.au/profiles/horse/racing-fighter-nz,,0
123,BUNDLE OF ENERGY,NZ,https://www.racenet.com.au/profiles/horse/bundle-of-energy,https://www.racenet.com.au/profiles/horse/bundle-of-energy-nz,,0
124,WALDORF,NZ,https://www.racenet.com.au/profiles/horse/waldorf,https://www.racenet.com.au/profiles/horse/waldorf-nz,24/08/2008,1
125,MASSIVE POCKET,AUS,https://www.racenet.com.au/profiles/horse/massive-pocket,https://www.racenet.com.au/profiles/horse/massive-pocket-aus,19/09/2013,1
126,TAKING AIM,AUS,https://www.racenet.com.au/profiles/horse/taking-aim,https://www.racenet.com.au/profiles/horse/taking-aim-aus,30/09/2014,1
127,TEAM SPIRIT,AUS,https://www.racenet.com.au/profiles/horse/team-spirit,https://www.racenet.com.au/profiles/horse/team-spirit-aus,26/09/2014,1
128,HONEST WAY,NZ,https://www.racenet.com.au/profiles/horse/honest-way,https://www.racenet.com.au/profiles/horse/honest-way-nz,20/11/2014,1
129,JUST NOT LISTENING,AUS,https://www.racenet.com.au/profiles/horse/just-not-listening,https://www.racenet.com.au/profiles/horse/just-not-listening-aus,10/9/2014,1
