Trainer_ID,name,HV_races,HV_wins,HV_placed,HV_rate,ST_races,ST_wins,ST_placed,ST_rate,Total_wins,Total_second_places,Total_third_places,Total_fourth_places,Total_rides,Win_percentage
81,D Guillemin,,,,0%,1,,,0%,,,,,1,0%
82,P Miller,,,,0%,1,,,0%,,,,,1,0%
83,M Saito,,,,0%,4,,1,0%,,1,,1,4,0%
84,F Rohaut,,,,0%,2,,,0%,,,,,2,0%
85,D Simcock,,,,0%,2,,,0%,,,,,2,0%
86,F-H Graffard,,,,0%,1,,,0%,,,,,1,0%
87,N Hori,,,,0%,12,5,3,41.67%,5,1,2,2,12,41.67%
88,R Okubo,,,,0%,2,,,0%,,,,,2,0%
89,H J L Dunlop,,,,0%,1,,,0%,,,,,1,0%
90,Barande-Barbe,,,,0%,9,,1,0%,,,1,1,9,0%
91,T K Ng,3307,232,524,7.02%,4752,243,546,5.11%,475,508,562,556,8059,5.89%
92,R Hickmott,,,,0%,1,,,0%,,,,,1,0%
93,G Bietolini,,,,0%,1,,,0%,,,,,1,0%
94,Y C Fung,,,,0%,2,,,0%,,,,,2,0%
95,M C Tam,,,,0%,13,,,0%,,,,,13,0%
96,W H Tse,,,,0%,1,,,0%,,,,,1,0%
97,K C Chong,,,,0%,2,,,0%,,,,,2,0%
98,A Bull,,,,0%,1,,,0%,,,,,1,0%
99,P B Shaw,,,,0%,4,,1,0%,,1,,,4,0%
100,M L W Bell,,,,0%,2,,,0%,,,,,2,0%
101,P Bary,,,,0%,6,,1,0%,,1,,,6,0%
102,G W Moore,,,,0%,13,1,,7.69%,1,,,,13,7.69%
103,K Fujioka,,,,0%,1,,,0%,,,,,1,0%
104,G Portelli,,,,0%,1,,,0%,,,,,1,0%
105,R Fahey,,,,0%,1,,,0%,,,,,1,0%
106,C Clement,,,,0%,8,,1,0%,,1,,2,8,0%
107,T Tanaka,,,,0%,1,,,0%,,,,,1,0%
108,K Yoshimura,,,,0%,1,,,0%,,,,,1,0%
109,M Sakaguchi,,,,0%,5,1,,20%,1,,,1,5,20%
110,S Woods,1422,83,202,5.84%,2974,184,404,6.19%,267,299,307,326,4396,6.07%
111,A Schutz,1008,64,154,6.35%,2020,115,258,5.69%,179,205,207,210,3028,5.91%
112,M F de Kock,,,,0%,22,3,4,13.64%,3,2,2,,22,13.64%
113,Pat Lee,,,,0%,1,,,0%,,,,,1,0%
114,K C Wong,,,,0%,3,,,0%,,,,,3,0%
115,M Delzangles,,,,0%,6,1,1,16.67%,1,,1,1,6,16.67%
116,G Enebish,,,,0%,2,,,0%,,,,,2,0%
117,W A Ward,,,,0%,2,,,0%,,,,,2,0%
118,E M Lynam,,,,0%,6,,1,0%,,1,,,6,0%
119,S Kunieda,,,,0%,4,,,0%,,,,,4,0%
120,D O'Meara,,,,0%,2,,,0%,,,,,2,0%
121,E Mader,,,,0%,2,,,0%,,,,,2,0%
122,F Head,,,,0%,7,,,0%,,,,,7,0%
123,A de Watrigant,,,,0%,1,,,0%,,,,,1,0%
124,T A Hogan,,,,0%,5,,,0%,,,,3,5,0%
125,G Allendorf,,,,0%,6,,,0%,,,,,6,0%
126,S Chow,,,,0%,4,,,0%,,,,,4,0%
127,O Hirata,,,,0%,1,,,0%,,,,,1,0%
128,P Schiergen,,,,0%,8,,1,0%,,1,,,8,0%
129,J S Bolger,,,,0%,8,1,1,12.5%,1,1,,,8,12.5%
130,R Heathcote,,,,0%,2,,,0%,,,,,2,0%
131,N Takagi,,,,0%,1,,,0%,,,,,1,0%
132,J O'Hara,,,,0%,2,,,0%,,,,,2,0%
133,I Sameshima,,,,0%,2,,,0%,,,,,2,0%
134,K Kato,,,,0%,2,,,0%,,,,,2,0%
135,R Varian,,,,0%,1,,,0%,,,,,1,0%
136,H Uehara,,,,0%,1,,,0%,,,,,1,0%
137,J H M Gosden,,,,0%,8,,3,0%,,2,1,,8,0%
138,N Sugai,,,,0%,1,,,0%,,,,,1,0%
139,M Figge,,,,0%,2,,,0%,,,,,2,0%
140,L M Cumani,,,,0%,7,2,2,28.57%,2,1,1,,7,28.57%
141,A Wohler,,,,0%,9,1,2,11.11%,1,1,1,,9,11.11%
142,M Botti,,,,0%,3,,,0%,,,,,3,0%
143,D Wachman,,,,0%,1,,,0%,,,,,1,0%
144,R M H Cowell,,,,0%,1,,,0%,,,,,1,0%
145,X T Demeaulte,,,,0%,1,,,0%,,,,,1,0%
146,J C Englehart,,,,0%,1,,,0%,,,,,1,0%
147,J Sadler,,,,0%,1,,,0%,,,,,1,0%
148,R Hannon Snr,,,,0%,9,,,0%,,,,2,9,0%
149,H Shimizu,,,,0%,1,,1,0%,,1,,,1,0%
150,J Noseda,,,,0%,1,,,0%,,,,,1,0%
151,D L Romans,,,,0%,1,,,0%,,,,,1,0%
152,T W Leung,2370,148,362,6.24%,3882,237,505,6.11%,385,393,474,459,6252,6.16%
153,B K Ng,2523,225,445,8.92%,3701,225,512,6.08%,450,506,451,582,6224,7.23%
154,B J Wallace,,,,0%,3,,2,0%,,1,1,,3,0%
155,S bin Suroor,,,,0%,34,5,7,14.71%,5,4,3,4,34,14.71%
156,J R Fanshawe,,,,0%,2,,,0%,,,,,2,0%
157,H-A Pantall,,,,0%,4,,1,0%,,,1,,4,0%
158,Laffon-Parias,,,,0%,5,,2,0%,,2,,1,5,0%
159,J O'Shea,,,,0%,3,,,0%,,,,,3,0%
160,M Nishizono,,,,0%,2,,,0%,,,,,2,0%
161,D Smaga,,,,0%,3,,,0%,,,,,3,0%
162,F Doumen,,,,0%,12,3,4,25%,3,2,2,1,12,25%
163,J Stephens,,,,0%,1,,1,0%,,,1,,1,0%
164,J-P Gauvin,,,,0%,1,,,0%,,,,,1,0%
165,P G Moody,,,,0%,1,,,0%,,,,,1,0%
166,C Hills,,,,0%,2,,,0%,,,,,2,0%
167,J E Hammond,,,,0%,7,1,,14.29%,1,,,1,7,14.29%
168,Rod Collet,,,,0%,3,,1,0%,,,1,,3,0%
169,J Bary,,,,0%,1,,,0%,,,,,1,0%
