Trainer_ID,name,HV_races,HV_wins,HV_placed,HV_rate,ST_races,ST_wins,ST_placed,ST_rate,Total_wins,Total_second_places,Total_third_places,Total_fourth_places,Total_rides,Win_percentage
395,C Read,,,,0%,2,,1,0%,,,1,,2,0%
396,G M Stewart,,,,0%,1,,,0%,,,,,1,0%
397,R B Priscott,,,,0%,1,,,0%,,,,,1,0%
398,S Masuzawa,,,,0%,1,,,0%,,,,,1,0%
399,J W Russell,,,,0%,1,,1,0%,,,1,,1,0%
400,M Okubo,,,,0%,1,,,0%,,,,,1,0%
401,C H Faulkner,,,,0%,1,,,0%,,,,,1,0%
402,W Shoemaker,,,,0%,1,1,,100%,1,,,,1,100%
403,D Meredith,,,,0%,1,,,0%,,,,1,1,0%
404,P W Ho,,,,0%,1,,,0%,,,,,1,0%
405,S R McKinnon,,,,0%,1,,,0%,,,,,1,0%
406,G Harwood,,,,0%,1,,,0%,,,,,1,0%
407,H Sugai,,,,0%,1,,,0%,,,,,1,0%
408,J Lesbordes,,,,0%,1,,,0%,,,,,1,0%
409,M C Reveley,,,,0%,1,,,0%,,,,,1,0%
410,T Attard,,,,0%,1,,,0%,,,,,1,0%
411,S J McKee,,,,0%,1,,,0%,,,,,1,0%
412,K C Yeoh,,,,0%,1,,,0%,,,,,1,0%
413,H M Cheung,1340,153,271,11.42%,1569,128,279,8.16%,281,287,263,287,2909,9.66%
414,P M Chu,832,93,188,11.18%,1028,65,187,6.32%,158,188,187,180,1860,8.49%
415,P N Hickey,,,,0%,2,,,0%,,,,,2,0%
416,J Fellows,,,,0%,1,,,0%,,,,,1,0%
417,J Gibbs,,,,0%,1,,,0%,,,,,1,0%
418,G Bougoure,,,,0%,2,,,0%,,,,,2,0%
419,C B Teh,,,,0%,3,,,0%,,,,,3,0%
420,E B Weal,,,,0%,1,,,0%,,,,,1,0%
421,Y Lalleman,,,,0%,1,,,0%,,,,,1,0%
422,D Smith,,,,0%,1,,,0%,,,,,1,0%
423,K H Au,1475,167,326,11.32%,1522,109,257,7.16%,276,280,303,311,2997,9.21%
424,A Chan,1621,139,326,8.57%,1840,135,315,7.34%,274,329,312,344,3461,7.92%
425,B Smith,,,,0%,1,1,,100%,1,,,,1,100%
426,F Mitchell,,,,0%,1,,1,0%,,1,,,1,0%
427,W Jarvis,,,,0%,1,,,0%,,,,,1,0%
428,S J Ong,,,,0%,1,,,0%,,,,,1,0%
429,E Collingwood,912,106,215,11.62%,1167,113,236,9.68%,219,234,217,181,2079,10.53%
430,A Clarke,,,,0%,1,1,,100%,1,,,,1,100%
431,C McNab,,,,0%,1,,1,0%,,1,,,1,0%
432,T Prendergast,,,,0%,1,,1,0%,,,1,,1,0%
433,P Sutherland,,,,0%,1,,,0%,,,,1,1,0%
434,R Maxwell,,,,0%,1,,,0%,,,,,1,0%
435,S K Ho,,,,0%,2,,,0%,,,,1,2,0%
436,K Leong,,,,0%,1,,,0%,,,,,1,0%
437,G Smyth,552,53,127,9.6%,717,85,152,11.85%,138,141,138,145,1269,10.87%
438,C L Ng,1434,142,288,9.9%,1488,137,298,9.21%,279,288,298,268,2922,9.55%
439,C S Chua,,,,0%,1,,,0%,,,,,1,0%
440,K L Chong,,,,0%,2,,,0%,,,,,2,0%
441,C Robertson,543,49,121,9.02%,565,36,83,6.37%,85,108,96,107,1108,7.67%
442,A Ward,802,116,181,14.46%,800,78,159,9.75%,194,179,161,160,1602,12.11%
443,D Kent,307,36,59,11.73%,310,29,63,9.35%,65,60,62,49,617,10.53%
444,R Edwards,222,22,43,9.91%,160,19,23,11.88%,41,33,33,38,382,10.73%
445,T C Cheng,1113,103,219,9.25%,1172,152,207,12.97%,255,203,223,206,2285,11.16%
446,T L Lee,376,37,85,9.84%,464,37,72,7.97%,74,80,77,90,840,8.81%
447,G Moore,1179,209,267,17.73%,1440,157,284,10.9%,366,285,266,277,2619,13.97%
448,R Burns,428,36,95,8.41%,617,45,112,7.29%,81,96,111,110,1045,7.75%
449,F Carr,222,20,41,9.01%,273,23,28,8.42%,43,35,34,51,495,8.69%
450,M K Tam,331,25,64,7.55%,412,46,73,11.17%,71,86,51,77,743,9.56%
451,N Metervelli,179,11,33,6.15%,234,16,48,6.84%,27,34,47,42,413,6.54%
452,P Supple,79,6,16,7.59%,117,10,21,8.55%,16,21,16,11,196,8.16%
453,J H Brown,69,8,16,11.59%,75,10,12,13.33%,18,11,17,17,144,12.5%
454,G Sofronoff,170,10,42,5.88%,221,22,47,9.95%,32,42,47,43,391,8.18%
455,R Turvey,4,,3,0%,9,1,3,11.11%,1,1,5,2,13,7.69%
5065,H Sugiyama,,,,0%,1,,1,0%,,,1,,1,0%
5066,Y Tsujino,,,,0%,1,,,0%,,,,1,1,0%
